product_name,image_url,actual_price,ratings,discount,product_link,main_category,sub_category,vendor_name
"Nothing Phone (2a) 5G (Black, 8GB RAM, 256GB Storage) | Up to 16 GB RAM | 6.7"" AMOLED Display | 50MP (OIS) + 50 MP | 32 MP Front | Mediatek Dimensity 7200 Pro Processor | 45 W Charging 100% in 59 mins",https://m.media-amazon.com/images/I/71ChLWTLXqL._AC_UY218_.jpg,"27,705",4.1,"₹27,999₹27,999",https://www.amazon.in/Nothing-Mediatek-Dimensity-Processor-Charging/dp/B0CX74JKLL/ref=sr_1_11?dib=eyJ2IjoiMSJ9.brV7rG-zDD0MO_wZuT9UcOPBRhwjFqRgViNaLmEuvDmaByzsL6Frscm22hpfygQWKhiGZdRqEYzLBf8iNjzHQjiV4bOn-JTUC3Fgr7a2Y48iBzfXRws0_akMFLydCwi4DqKlNczN69DhwxC7gPCdbd8Gv-5Oc7QYQZcTLj_4v_v8yFbBls6rbkHyxHG8Uyf7RAFB9lXCf6H7Yx4z92oSpowdNJUR8OIIJobc9AqcL-g.miAYZ7LU_Xgv6t5x6AlF3YxHlb6VTv4olkVLbwq9DGM&dib_tag=se&keywords=phones&qid=1716922939&sr=8-11,mobiles,,amazon
"Samsung Galaxy M14 5G (ICY Silver,6GB,128GB)|50MP Triple Cam|Segment's Only 6000 mAh 5G SP|5nm Processor|2 Gen. OS Upgrade & 4 Year Security Update|12GB RAM with RAM Plus|Android 13|Without Charger",https://m.media-amazon.com/images/I/81ZSn2rk9WL._AC_UY218_.jpg,"12,490",4,"₹18,990₹18,990",https://www.amazon.in/Samsung-Segments-Smartphone-Octa-Core-Processor/dp/B0BZCR6TNK/ref=sr_1_12?dib=eyJ2IjoiMSJ9.brV7rG-zDD0MO_wZuT9UcOPBRhwjFqRgViNaLmEuvDmaByzsL6Frscm22hpfygQWKhiGZdRqEYzLBf8iNjzHQjiV4bOn-JTUC3Fgr7a2Y48iBzfXRws0_akMFLydCwi4DqKlNczN69DhwxC7gPCdbd8Gv-5Oc7QYQZcTLj_4v_v8yFbBls6rbkHyxHG8Uyf7RAFB9lXCf6H7Yx4z92oSpowdNJUR8OIIJobc9AqcL-g.miAYZ7LU_Xgv6t5x6AlF3YxHlb6VTv4olkVLbwq9DGM&dib_tag=se&keywords=phones&qid=1716922939&sr=8-12,mobiles,,amazon
"Oneplus Nord CE 3 5G (Grey Shimmer, 8GB RAM, 128GB Storage)",https://m.media-amazon.com/images/I/61abLrCfF7L._AC_UY218_.jpg,"18,999",4.2,"₹26,999₹26,999",https://www.amazon.in/Oneplus-Nord-Shimmer-128GB-Storage/dp/B0C9QPJY5R/ref=sr_1_13?dib=eyJ2IjoiMSJ9.brV7rG-zDD0MO_wZuT9UcOPBRhwjFqRgViNaLmEuvDmaByzsL6Frscm22hpfygQWKhiGZdRqEYzLBf8iNjzHQjiV4bOn-JTUC3Fgr7a2Y48iBzfXRws0_akMFLydCwi4DqKlNczN69DhwxC7gPCdbd8Gv-5Oc7QYQZcTLj_4v_v8yFbBls6rbkHyxHG8Uyf7RAFB9lXCf6H7Yx4z92oSpowdNJUR8OIIJobc9AqcL-g.miAYZ7LU_Xgv6t5x6AlF3YxHlb6VTv4olkVLbwq9DGM&dib_tag=se&keywords=phones&qid=1716922939&sr=8-13,mobiles,,amazon
"OnePlus 11R 5G (Sonic Black, 8GB RAM, 128GB Storage)",https://m.media-amazon.com/images/I/61u9zN1HYCL._AC_UY218_.jpg,"27,999",4.4,"₹39,999₹39,999",https://www.amazon.in/OnePlus-Sonic-Black-128GB-Storage/dp/B0BSNP46QP/ref=sr_1_14?dib=eyJ2IjoiMSJ9.brV7rG-zDD0MO_wZuT9UcOPBRhwjFqRgViNaLmEuvDmaByzsL6Frscm22hpfygQWKhiGZdRqEYzLBf8iNjzHQjiV4bOn-JTUC3Fgr7a2Y48iBzfXRws0_akMFLydCwi4DqKlNczN69DhwxC7gPCdbd8Gv-5Oc7QYQZcTLj_4v_v8yFbBls6rbkHyxHG8Uyf7RAFB9lXCf6H7Yx4z92oSpowdNJUR8OIIJobc9AqcL-g.miAYZ7LU_Xgv6t5x6AlF3YxHlb6VTv4olkVLbwq9DGM&dib_tag=se&keywords=phones&qid=1716922939&sr=8-14,mobiles,,amazon
"Redmi 13C 5G (Starlight Black, 4GB RAM, 128GB Storage) | MediaTek Dimensity 6100+ 5G | 90Hz Display",https://m.media-amazon.com/images/I/81nMsYgIHdL._AC_UY218_.jpg,"10,499",4,"₹13,999₹13,999",https://www.amazon.in/Redmi-Starlight-Storage-MediaTek-Dimensity/dp/B0CNX89QR8/ref=sr_1_15?dib=eyJ2IjoiMSJ9.brV7rG-zDD0MO_wZuT9UcOPBRhwjFqRgViNaLmEuvDmaByzsL6Frscm22hpfygQWKhiGZdRqEYzLBf8iNjzHQjiV4bOn-JTUC3Fgr7a2Y48iBzfXRws0_akMFLydCwi4DqKlNczN69DhwxC7gPCdbd8Gv-5Oc7QYQZcTLj_4v_v8yFbBls6rbkHyxHG8Uyf7RAFB9lXCf6H7Yx4z92oSpowdNJUR8OIIJobc9AqcL-g.miAYZ7LU_Xgv6t5x6AlF3YxHlb6VTv4olkVLbwq9DGM&dib_tag=se&keywords=phones&qid=1716922939&sr=8-15,mobiles,,amazon
Redmi 12 5G Jade Black 6GB RAM 128GB ROM,https://m.media-amazon.com/images/I/71tCOhEigtL._AC_UY218_.jpg,"12,499",4,"₹17,999₹17,999",https://www.amazon.in/Redmi-Jade-Black-6GB-128GB/dp/B0C9JFWBH7/ref=sr_1_16?dib=eyJ2IjoiMSJ9.brV7rG-zDD0MO_wZuT9UcOPBRhwjFqRgViNaLmEuvDmaByzsL6Frscm22hpfygQWKhiGZdRqEYzLBf8iNjzHQjiV4bOn-JTUC3Fgr7a2Y48iBzfXRws0_akMFLydCwi4DqKlNczN69DhwxC7gPCdbd8Gv-5Oc7QYQZcTLj_4v_v8yFbBls6rbkHyxHG8Uyf7RAFB9lXCf6H7Yx4z92oSpowdNJUR8OIIJobc9AqcL-g.miAYZ7LU_Xgv6t5x6AlF3YxHlb6VTv4olkVLbwq9DGM&dib_tag=se&keywords=phones&qid=1716922939&sr=8-16,mobiles,,amazon
"Mtouch All-New Rock X Flip Dual Sim |Keypad Mobile| with 1.8"" Display |Flip|Fold| Call & SMS Indicator|Crystal Back Panel |BT Dialer|Voice Changer |Long Lasting Battery|FM|Camera|Feature Phone (Gold)",https://m.media-amazon.com/images/I/51D5FKfHhdL._AC_UY218_.jpg,"1,799",5,"₹2,499₹2,499",https://www.amazon.in/All-New-Display-Indicator-Crystal-Changer/dp/B0D312BG83/ref=sr_1_17?dib=eyJ2IjoiMSJ9.SLWf3iamn6S1FTQCralqQ1EO29wNW7SqjUfc_H1vhcsfRJycAPWC3wJeyGZtU-fkrIddE707DBsGBmM1h4QCIO_o1zhd-vKMEaAEskdW-v-vKe0BpwCdlHHa0jxek_TMzyEbwky0WrLXKu-VFvgA_JdHL-ofQPXyOjIUklZow_STX2nnk3PR-NM4fD6woqJqQZrTR2cPnHGy95dvL2yssft7QvcpK3Tq-I8klWpFdwc.joi-DKa1jzfPmw9UVd0yfugiiqYtwNHV8HwfAaf0fIY&dib_tag=se&keywords=phones&qid=1716922943&sr=8-17,mobiles,,amazon
"realme 12 Pro 5G (Submarine Blue, 8GB RAM 256 GB Storage)",https://m.media-amazon.com/images/I/81QvAGRjTAL._AC_UY218_.jpg,"24,686",4.1,"₹31,999₹31,999",https://www.amazon.in/realme-12-5G-Submarine-Storage/dp/B0CTHXNT9W/ref=sr_1_18?dib=eyJ2IjoiMSJ9.SLWf3iamn6S1FTQCralqQ1EO29wNW7SqjUfc_H1vhcsfRJycAPWC3wJeyGZtU-fkrIddE707DBsGBmM1h4QCIO_o1zhd-vKMEaAEskdW-v-vKe0BpwCdlHHa0jxek_TMzyEbwky0WrLXKu-VFvgA_JdHL-ofQPXyOjIUklZow_STX2nnk3PR-NM4fD6woqJqQZrTR2cPnHGy95dvL2yssft7QvcpK3Tq-I8klWpFdwc.joi-DKa1jzfPmw9UVd0yfugiiqYtwNHV8HwfAaf0fIY&dib_tag=se&keywords=phones&qid=1716922943&sr=8-18,mobiles,,amazon
"Nokia 2660 Flip 4G Volte keypad Phone with Dual SIM, Dual Screen, inbuilt MP3 Player & Wireless FM Radio | Black",https://m.media-amazon.com/images/I/61RBrScYUSL._AC_UY218_.jpg,"4,299",3.9,"₹5,899₹5,899",https://www.amazon.in/Nokia-2660-keypad-inbuilt-Wireless/dp/B0B9YK24TF/ref=sr_1_19?dib=eyJ2IjoiMSJ9.SLWf3iamn6S1FTQCralqQ1EO29wNW7SqjUfc_H1vhcsfRJycAPWC3wJeyGZtU-fkrIddE707DBsGBmM1h4QCIO_o1zhd-vKMEaAEskdW-v-vKe0BpwCdlHHa0jxek_TMzyEbwky0WrLXKu-VFvgA_JdHL-ofQPXyOjIUklZow_STX2nnk3PR-NM4fD6woqJqQZrTR2cPnHGy95dvL2yssft7QvcpK3Tq-I8klWpFdwc.joi-DKa1jzfPmw9UVd0yfugiiqYtwNHV8HwfAaf0fIY&dib_tag=se&keywords=phones&qid=1716922943&sr=8-19,mobiles,,amazon
"Redmi 13C (Stardust Black, 8GB RAM, 256GB Storage) | Powered by 4G MediaTek Helio G85 | 90Hz Display | 50MP AI Triple Camera",https://m.media-amazon.com/images/I/71d1ytcCntL._AC_UY218_.jpg,"10,999",4.1,"₹15,999₹15,999",https://www.amazon.in/Stardust-Storage-Powered-MediaTek-Display/dp/B0CMTWQYFM/ref=sr_1_20?dib=eyJ2IjoiMSJ9.SLWf3iamn6S1FTQCralqQ1EO29wNW7SqjUfc_H1vhcsfRJycAPWC3wJeyGZtU-fkrIddE707DBsGBmM1h4QCIO_o1zhd-vKMEaAEskdW-v-vKe0BpwCdlHHa0jxek_TMzyEbwky0WrLXKu-VFvgA_JdHL-ofQPXyOjIUklZow_STX2nnk3PR-NM4fD6woqJqQZrTR2cPnHGy95dvL2yssft7QvcpK3Tq-I8klWpFdwc.joi-DKa1jzfPmw9UVd0yfugiiqYtwNHV8HwfAaf0fIY&dib_tag=se&keywords=phones&qid=1716922943&sr=8-20,mobiles,,amazon
"Redmi 13C 5G (Starlight Black, 8GB RAM, 256GB Storage) | MediaTek Dimensity 6100+ 5G | 90Hz Display",https://m.media-amazon.com/images/I/81nMsYgIHdL._AC_UY218_.jpg,"13,999",3.8,"₹17,999₹17,999",https://www.amazon.in/Redmi-Starlight-Storage-MediaTek-Dimensity/dp/B0CNX79YGX/ref=sr_1_21?dib=eyJ2IjoiMSJ9.SLWf3iamn6S1FTQCralqQ1EO29wNW7SqjUfc_H1vhcsfRJycAPWC3wJeyGZtU-fkrIddE707DBsGBmM1h4QCIO_o1zhd-vKMEaAEskdW-v-vKe0BpwCdlHHa0jxek_TMzyEbwky0WrLXKu-VFvgA_JdHL-ofQPXyOjIUklZow_STX2nnk3PR-NM4fD6woqJqQZrTR2cPnHGy95dvL2yssft7QvcpK3Tq-I8klWpFdwc.joi-DKa1jzfPmw9UVd0yfugiiqYtwNHV8HwfAaf0fIY&dib_tag=se&keywords=phones&qid=1716922943&sr=8-21,mobiles,,amazon
"realme NARZO 70x 5G (Ice Blue, 6GB RAM,128GB Storage)|120Hz Ultra Smooth Display|Dimensity 6100+ 6nm 5G|50MP AI Camera|45W Charger in The Box",https://m.media-amazon.com/images/I/71nMx5PxibL._AC_UY218_.jpg,"13,499",2.9,"₹17,999₹17,999",https://www.amazon.in/realme-Storage-Display-Dimensity-Charger/dp/B0CZS3B3PY/ref=sr_1_22?dib=eyJ2IjoiMSJ9.SLWf3iamn6S1FTQCralqQ1EO29wNW7SqjUfc_H1vhcsfRJycAPWC3wJeyGZtU-fkrIddE707DBsGBmM1h4QCIO_o1zhd-vKMEaAEskdW-v-vKe0BpwCdlHHa0jxek_TMzyEbwky0WrLXKu-VFvgA_JdHL-ofQPXyOjIUklZow_STX2nnk3PR-NM4fD6woqJqQZrTR2cPnHGy95dvL2yssft7QvcpK3Tq-I8klWpFdwc.joi-DKa1jzfPmw9UVd0yfugiiqYtwNHV8HwfAaf0fIY&dib_tag=se&keywords=phones&qid=1716922943&sr=8-22,mobiles,,amazon
"Oppo F25 Pro 5G (Lava Red, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",https://m.media-amazon.com/images/I/810HI-4wV+L._AC_UY218_.jpg,"23,999",4,"₹28,999₹28,999",https://www.amazon.in/Oppo-Storage-Additional-Exchange-Offers/dp/B0CVLBYDQQ/ref=sr_1_23?dib=eyJ2IjoiMSJ9.SLWf3iamn6S1FTQCralqQ1EO29wNW7SqjUfc_H1vhcsfRJycAPWC3wJeyGZtU-fkrIddE707DBsGBmM1h4QCIO_o1zhd-vKMEaAEskdW-v-vKe0BpwCdlHHa0jxek_TMzyEbwky0WrLXKu-VFvgA_JdHL-ofQPXyOjIUklZow_STX2nnk3PR-NM4fD6woqJqQZrTR2cPnHGy95dvL2yssft7QvcpK3Tq-I8klWpFdwc.joi-DKa1jzfPmw9UVd0yfugiiqYtwNHV8HwfAaf0fIY&dib_tag=se&keywords=phones&qid=1716922943&sr=8-23,mobiles,,amazon
"Redmi 13C (Starfrost White, 6GB RAM, 128GB Storage) | Powered by 4G MediaTek Helio G85 | 90Hz Display | 50MP AI Triple Camera",https://m.media-amazon.com/images/I/71scmEdSC2L._AC_UY218_.jpg,"8,499",4.1,"₹13,999₹13,999",https://www.amazon.in/Starfrost-Storage-Powered-MediaTek-Display/dp/B0CMTX362W/ref=sr_1_24?dib=eyJ2IjoiMSJ9.SLWf3iamn6S1FTQCralqQ1EO29wNW7SqjUfc_H1vhcsfRJycAPWC3wJeyGZtU-fkrIddE707DBsGBmM1h4QCIO_o1zhd-vKMEaAEskdW-v-vKe0BpwCdlHHa0jxek_TMzyEbwky0WrLXKu-VFvgA_JdHL-ofQPXyOjIUklZow_STX2nnk3PR-NM4fD6woqJqQZrTR2cPnHGy95dvL2yssft7QvcpK3Tq-I8klWpFdwc.joi-DKa1jzfPmw9UVd0yfugiiqYtwNHV8HwfAaf0fIY&dib_tag=se&keywords=phones&qid=1716922943&sr=8-24,mobiles,,amazon
